PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 12.3 uM,Standard Deviation,Inhibition at 12.3 uM [1],Inhibition at 12.3 uM [2],Inhibition at 12.3 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized percent inhibition of the primary screen at a compound concentration of 12.3 micromolar.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound,Percent inhibition of the confirmatory screen at a compound concentration of 12.3 micromolar.,Percent inhibition of the confirmatory screen at a compound concentration of 12.3 micromolar.,Percent inhibition of the confirmatory screen at a compound concentration of 12.3 micromolar.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,,12.3,,12.3,12.3,12.3
1,57264392,360404,C1=CC=C(C(=C1)C2=C3C=CC(=O)C(=C3OC4=C2C=CC(=C4O)O)O)S(=O)(=O)O,Active,99,,,21.01,2.74918,21.1007,17.5919,24.3239
2,860958,3398600,CCC(=NCC1=CC=CO1)C2=C(N(C(=O)NC2=O)C3CCCCC3)O,Active,98,,,20.79,0.414613,20.2561,20.8504,21.2664
3,85148376,5362065,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OCC(=O)O)/C3=CSC(=N3)N)SC1)C(=O)O,Active,97,,,20.54,1.91728,19.3829,23.2432,18.9968
4,26729315,2744566,CC(C)(C)C1=NN(C(=C1)C(=O)NNC(=O)NC2=CC=CC=C2)CC3=CC=CC=C3,Active,87,,,18.46,2.14746,21.003,15.7515,18.6395
5,144097197,60159137,CCCNC(=O)C[C@H]1CC[C@H]2[C@H](O1)COC3=C(C=C(C=C3)NC(=O)C4=CN=CS4)C(=O)N2C,Active,85,,,17.94,0.230072,17.6671,17.9109,18.2291
6,144096940,60159039,CN1[C@H]2CC[C@@H](O[C@@H]2COC3=C(C1=O)C=C(C=C3)NS(=O)(=O)C4=CC=C(C=C4)F)CC(=O)NCC(F)(F)F,Active,79,,,16.72,2.42922,19.8269,16.4361,13.8969
7,17409467,1483408,C1=CC=C(C=C1)N2C(=C(C=N2)S(=O)(=O)C3=CC=CC=C3)C4=CC=C(C=C4)Cl,Active,79,,,16.61,1.93308,17.8632,13.8844,18.0969
8,14718820,5172669,CCCCNC(=S)NNC(=O)C1=CSC(=C1)C,Active,78,,,16.41,2.02333,13.6174,18.3492,17.2601
9,847676,135439099,C1CN(CCC1C2=NC3=C(C(=O)N2)N=NN3CC4=CC=CC=C4Cl)C(=O)CC5=CC=CS5,Active,74,,,15.74,2.1742,17.0125,17.5247,12.6778
10,49728291,1092904,CC1=C(C=CC(=C1)NC(=O)C2=CC3=C(C=C2)OCO3)NC(=O)C4=CC=CC=C4,Active,73,,,15.38,2.77811,18.6915,11.8932,15.5537
11,24823405,9552815,C1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)/C=N/NC(=O)C3=CC(=CC=C3)O,Active,73,,,15.35,2.35177,14.3732,13.0898,18.5949
12,143472100,46742345,CC(C)(C)C1=CC=C(C=C1)CNC2=C(N=NC(=N2)C3=CC=CC=N3)C4=CC=CC=C4,Active,72,,,15.2,1.81796,17.2864,15.4645,12.8566
13,7970286,2157548,CN1C=C(C2=CC=CC=C21)S(=O)(=O)CC(=O)N3CCC4=CC=CC=C43,Active,70,,,14.73,3.19693,11.9499,19.2045,13.0237
14,861861,4669155,CCC(=NCC1CCCO1)C2=C(N(C(=O)NC2=O)CC3=CC=CC=C3)O,Active,70,,,14.72,1.594,16.3224,12.5445,15.2876
15,49644808,1104030,CCOC1=CC=CC(=C1)C(=O)NC2=CC(=C(C=C2)NC(=O)C3=CC=CC=C3)C,Active,68,,,14.29,1.72898,16.7321,13.1096,13.0209
16,57263564,9106949,COC1=CC=CC=C1COC(=O)C2=CC(=CC=C2)S(=O)(=O)N3CCCC3,Active,67,,,14.25,1.09139,14.8274,15.2069,12.7254
17,24822755,4085011,C1=CC=C2C(=C1)C(=O)N(C(=O)N2)C3=C(C=C(C=C3)Cl)Cl,Active,67,,,14.25,0.890965,15.1112,13.0246,14.6217
18,22412265,3354813,CC1=CC(=CS1)C(=O)NNC(=S)NCC(C)C,Active,66,,,13.92,2.13784,11.8773,13.0157,16.8731
19,144097034,54657116,CCNC(=O)C[C@H]1CC[C@H]2[C@H](O1)COC3=C(C=C(C=C3)NC(=O)C4=CC5=C(C=C4)OCO5)C(=O)N2C,Active,66,,,13.88,3.92842,14.8319,18.138,8.65879
20,4247784,3241950,CCC1=CC(=CC=C1)NC(=O)CN(C2=CC=C(C=C2)OC)S(=O)(=O)C3=C(NN=C3C)C,Active,62,,,13.12,1.28155,14.7314,11.5959,13.0323
21,26670695,135679598,C1=CC(=C(C=C1O)O)/C=N/NC2=C(C=C(C=C2)S(=O)(=O)N)[N+](=O)[O-],Active,60,,,12.79,1.32046,11.096,12.9589,14.3173
22,16953399,2118495,CC(C)(C)C1CCC(CC1)C(=O)NC2=CC=CC=C2,Active,60,,,12.63,1.38303,11.0939,14.4473,12.3542
23,14728009,4129448,CCCCNC(=S)NNC(=O)C1=CSC(=C1)CC,Active,59,,,12.56,1.08806,11.6238,11.9663,14.084
24,17409475,1483453,C1=CC=C(C=C1)N2C(=C(C=N2)S(=O)(=O)C3=CC=CC=C3)C4=CC=C(C=C4)F,Active,59,,,12.53,2.6281,8.91323,13.6146,15.0723
25,17410769,5100198,C1=CC=C(C=C1)C(=NC2=CC=C(C=C2)Cl)NO,Active,59,,,12.5,1.93004,14.9072,10.1816,12.4228
26,849853,135406347,C1CN(CCC1C2=NC3=C(C(=O)N2)N=NN3CC4=CC=CC=C4)C(=O)CC5=CC=CS5,Active,57,,,12.12,1.31118,11.4963,13.9405,10.914
27,144097032,60159071,CCNC(=O)NC1=CC2=C(C=C1)OC[C@@H]3[C@H](CC[C@@H](O3)CC(=O)N[C@H](C)C4=CC=CC=C4)N(C2=O)C,Active,55,,,11.65,0.395809,11.1176,11.7487,12.0706
28,144097035,54654643,CN1[C@H]2CC[C@@H](O[C@@H]2COC3=C(C1=O)C=C(C=C3)NC(=O)NC4=CC=CC=C4F)CC(=O)NCC5=CC=C(C=C5)C6=CC=CC=C6,Active,55,,,11.62,0.989374,12.6234,10.271,11.9518
29,22413520,1811598,CN(C1=CC=CC=C1)C(=O)COC2=CC=CC=C2C(=O)NCCOC3=CC=CC=C3,Active,55,,,11.6,2.95534,8.27913,15.4586,11.0662
30,49666452,2765106,CN(C1C(COC2=C1C3=CC=CC=C3C=C2)CO)C(=O)C4=CC=CC=C4,Active,54,,,11.48,0.455166,11.5046,12.0178,10.904
31,16953757,2570016,C1CCC2=C(C1)C=C(S2)C(=O)NCC3=CC=C(C=C3)F,Active,53,,,11.23,1.98717,11.4793,8.67753,13.5255
32,17413254,2870878,CC1=CC=C(C=C1)NC(=O)C2=NN(C=C2[N+](=O)[O-])C34CC5CC(C3)CC(C5)C4,Active,52,,,11.11,2.31254,9.74886,9.21286,14.3645
33,24837215,5680788,C1=CC=C2C(=C1)/C(=N\S(=O)(=O)C3=CC=CS3)/C=C(C2=O)NC4=CC=C(C=C4)O,Active,51,,,10.9,1.95046,10.0023,13.6064,9.08818
34,49829243,8031245,CCN1C2=C(C(=O)N(C(=N2)C)CC(=O)NC3=CC(=CC=C3)Cl)SC1=S,Active,51,,,10.89,1.57131,12.9292,9.10678,10.628
35,47203861,3101746,CC1=CC(=C2C(=N1)C(=CC(=O)C2=O)N3CCOCC3)C(=O)OC,Active,51,,,10.75,1.49628,8.63455,11.8464,11.7695
36,92764518,406008,CCOC(=O)C1=C(N(C2=C1C3=CC=CC=C3C(=O)C2=O)CC4=CC=CC=C4)C,Active,51,,,10.74,1.62548,8.73328,12.7146,10.7647
37,14728280,1798821,CCOC(=O)/C(=C\OCCOC1=C(C=C(C=C1)Cl)Cl)/C2=CC=CC=C2,Inactive,50,,,10.53,0.753976,11.5429,10.3191,9.73317
38,24825267,2509472,CC(C)CN1C(=O)C(=O)N(C1=O)CC(=O)NC2=C(C=CC(=C2)Cl)OC3=CC=CC=C3,Inactive,49,,,10.43,1.61474,10.2261,12.5072,8.56832
39,49731015,24792808,C1CN(CCN1C2=CC(=CC=C2)Cl)S(=O)(=O)C3=CNC4=C3C=C(C=C4)[N+](=O)[O-],Inactive,49,,,10.36,1.80982,7.8733,12.1192,11.1003
40,14730473,704134,CN(C)/C=C/1\C(=O)OC(=N1)C2=CC=CC=C2,Inactive,49,,,10.36,1.30111,8.75179,10.3751,11.9387
41,57264455,616832,C1=CC2=C3C(=C1)NC(=NC3=CC=C2)C(F)(F)F,Inactive,49,,,10.31,2.35363,7.53129,10.1109,13.2862
42,24835037,9677991,CCOC(=O)N/N=C/C1=CC=C(C=C1)OC2=CC=CC=C2,Inactive,48,,,10.19,0.7775,10.7531,10.7165,9.08581
43,26665015,240350,CC1=C(C=C(C=C1)C(C)C)NC(=O)NC2=CC=C(C=C2)[N+](=O)[O-],Inactive,47,,,10.08,2.95377,13.7676,9.94277,6.53637
44,49734667,24793593,C1[C@@H]([C@H](C(=O)N1C2=CC(=C(C=C2)F)F)CC(=O)NC3=CC=CC=C3)CC4=CC=CC=C4,Inactive,47,,,9.92,2.20329,11.9582,10.9367,6.85807
45,24841228,3844407,C1=C(C=C(C(=C1N)O)[N+](=O)[O-])S(=O)(=O)O,Inactive,47,,,9.89,1.57515,7.83061,10.2009,11.6523
46,14740907,1839198,C1=COC(=C1)C2=CC(=NN2)C3=NNC(=S)N3C4=CC=C(C=C4)C(=O)O,Inactive,46,,,9.72,0.30136,9.73212,9.34771,10.0857
47,24814953,1562044,COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)CN3C(=O)C4=CC=CC=C4C3=O)OC,Inactive,45,,,9.61,2.24151,8.54431,12.7256,7.55326
48,17415033,9587374,C1=CSC(=C1)C(=O)O/N=C(/CC2=CC(=C(C=C2)Cl)Cl)\N,Inactive,45,,,9.56,1.0586,9.93662,10.624,8.11503
49,4246066,3240457,CN(CCNC(=O)C1CCN(CC1)S(=O)(=O)C2=CN=CN2)CC3=CC=CC=C3,Inactive,44,,,9.42,1.75499,7.40262,11.6795,9.16522
50,17401588,135456889,CC1=CC=C(C=C1)S(=O)(=O)CC2=NC3=CC=CC=C3C(=O)N2,Inactive,44,,,9.39,1.23987,10.9445,7.91003,9.31893
51,87335704,135484714,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)NC(=O)NNC(=O)C3=CC=NC=C3,Inactive,44,,,9.31,3.59432,13.9947,5.25832,8.68125
52,24803353,1449344,CC1=CC(=NC=C1NC(=O)C2=CC=CS2)NC(=O)C3=CC=CC=C3,Inactive,44,,,9.31,1.70775,11.0705,6.99611,9.85396
53,14730721,254021,C1=CC=C2C(=C1)C3=C(C=C(C=C3)N)C(=O)C2=O,Inactive,43,,,9.19,2.47138,10.1182,5.80884,11.6455
54,49679877,3728472,C1=CC=C(C(=C1)C2=C3C=C(C(=O)C=C3OC4=CC(=C(C=C42)O)O)O)[N+](=O)[O-],Inactive,41,,,8.81,2.35958,9.48739,11.3015,5.64193
55,51087844,3483852,C1=CC2=C(C=CC=C2S(=O)(=O)C3=C(C=CC(=C3)O)O)C(=C1)S(=O)(=O)C4=C(C=CC(=C4)O)O,Inactive,41,,,8.75,1.18869,9.28739,7.09974,9.85763
56,49726959,1141323,CC1=C(C=CC(=C1)NC(=O)C2=CC=C(C=C2)F)NC(=O)C3=CC=CO3,Inactive,41,,,8.74,1.15268,9.36841,7.12728,9.73513
57,17402722,1481709,C1OC2=C(O1)C=C(C=C2)C3=NN(C=C3)CC4=CC(=C(C=C4)Cl)Cl,Inactive,41,,,8.7,0.931697,7.91408,10.0067,8.17171
58,24810911,6019211,CCC1CO/C(=C(\C(=C(Cl)Cl)Cl)/[N+](=O)[O-])/N1,Inactive,41,,,8.66,1.52955,7.62385,10.8238,7.53615
59,4251945,3245564,CCOC(=O)/C(=C\1/C=CN(C=N1)C)/C#N,Inactive,41,,,8.62,2.34622,5.76907,8.56451,11.5154
60,14744196,4083896,C1C2CC3CC1CC(C2)(C3)C(=O)NC4=NC(=CS4)COC5=CC=CC=C5,Inactive,40,,,8.55,1.70891,6.54637,10.7227,8.38952
61,24779575,9627159,CN(C)C1=C(C=C(C=C1)/C=N/NC(=S)N)[N+](=O)[O-],Inactive,40,,,8.44,3.41564,6.96875,13.1606,5.19179
62,14740906,3381552,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=O)C3=CC=CC=C3C2=O)N4CCN(CC4)C5=CC=CC=C5F,Inactive,39,,,8.32,1.64792,6.68663,10.5764,7.69726
63,14742373,3715401,CC1CCN(CC1)C(=O)C2=C(C3=C(C=C2)C(=O)C4=CC=CC=C4C3=O)NCCO,Inactive,39,,,8.29,1.14847,7.01488,9.79903,8.05795
