PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,103268050,1967,CC1=C(C(=O)C(=C(C1=O)C)CCCCC#CCCCC#CCO)C,Inconclusive,,,Potential missing data,IC50,nM,Not Determined
2,103304279,14277772,CCCCC(C1=CN=CC=C1)C2=C(C(=O)C(=C(C2=O)C)C)C,Inconclusive,,,Potential missing data,IC50,nM,Not Determined
3,163329944,71458136,CCCCCCCCCCCCCCCCCCOC1=C([C@H](OC1=O)C(CO)O)O,Inconclusive,,,Potential missing data,IC50,nM,Not Determined
