PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Qualifier,IC50,LogIC50,Maximal Response,Baseline Response,Inflection Point Concentration,Chi Square,Rsquare,Number of DataPoints,Hill Slope,Response Range,Excluded Points,Inhibition at 0.0062 uM [1],Inhibition at 0.0062 uM [2],Inhibition at 0.0062 uM [3],Inhibition at 0.0062 uM [4],Inhibition at 0.0062 uM [5],Inhibition at 0.0062 uM [6],Inhibition at 0.019 uM [1],Inhibition at 0.019 uM [2],Inhibition at 0.019 uM [3],Inhibition at 0.019 uM [4],Inhibition at 0.019 uM [5],Inhibition at 0.019 uM [6],Inhibition at 0.056 uM [1],Inhibition at 0.056 uM [2],Inhibition at 0.056 uM [3],Inhibition at 0.056 uM [4],Inhibition at 0.056 uM [5],Inhibition at 0.056 uM [6],Inhibition at 0.17 uM [1],Inhibition at 0.17 uM [2],Inhibition at 0.17 uM [3],Inhibition at 0.17 uM [4],Inhibition at 0.17 uM [5],Inhibition at 0.17 uM [6],Inhibition at 0.5 uM [1],Inhibition at 0.5 uM [2],Inhibition at 0.5 uM [3],Inhibition at 0.5 uM [4],Inhibition at 0.5 uM [5],Inhibition at 0.5 uM [6],Inhibition at 1.5 uM [1],Inhibition at 1.5 uM [2],Inhibition at 1.5 uM [3],Inhibition at 1.5 uM [4],Inhibition at 1.5 uM [5],Inhibition at 1.5 uM [6],Inhibition at 4.5 uM [1],Inhibition at 4.5 uM [2],Inhibition at 4.5 uM [3],Inhibition at 4.5 uM [4],Inhibition at 4.5 uM [5],Inhibition at 4.5 uM [6],Inhibition at 13.6 uM [1],Inhibition at 13.6 uM [2],Inhibition at 13.6 uM [3],Inhibition at 13.6 uM [4],Inhibition at 13.6 uM [5],Inhibition at 13.6 uM [6],Inhibition at 40.8 uM [1],Inhibition at 40.8 uM [2],Inhibition at 40.8 uM [3],Inhibition at 40.8 uM [4],Inhibition at 40.8 uM [5],Inhibition at 40.8 uM [6],Inhibition at 122.5 uM [1],Inhibition at 122.5 uM [2],Inhibition at 122.5 uM [3],Inhibition at 122.5 uM [4],Inhibition at 122.5 uM [5],Inhibition at 122.5 uM [6]
119,14726304,1071270,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N3C(=O)C4=CC=CC5=C4C(=CC=C5)C3=O,Inactive,0,,,>,122.493,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-6.8,-8.6,-1.4,,,,-8.3,-4.7,-3.8,,,,-3,-0.8,-2.9,,,,-3.1,-3.1,0.8,,,,-6.2,-3.7,-5.5,,,,-5.7,-10.4,-4.8,,,,-2.8,-4.7,-5.7,,,,2.1,-2.5,-5.8,,,,8,10,7.6,,,,33,28.1,28.9,,,
120,24823674,6104167,C1=CC(=CC(=C1)N2C=CC=C2/C=C/3\C(=O)N(C(=O)N3)C4=CC=C(C=C4)Cl)C(=O)O,Inactive,0,,,>,122.493,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-0.6,-6.5,1.1,,,,-1.2,-3.3,-3.6,,,,-2.4,-0.7,-3.9,,,,-8.1,-6.8,-6.6,,,,-0.6,0.1,-2.5,,,,-3.8,-5.3,-8.6,,,,4.1,2.2,4.1,,,,19.8,22.9,28.4,,,,1.8,13.9,0,,,,-133.7,-137.2,-117.9,,,
121,14721745,1445102,CC1=CC=CC=C1C(=O)NC2CCN(CC2)CC3=NN=NN3C4CCCC4,Inactive,0,,,>,122.493,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-2.6,1.9,-0.5,,,,-4.4,-4.9,-0.9,,,,-3.2,-4.8,-4.4,,,,-8.1,-7.1,-2.1,,,,-1.5,-3.8,-3.4,,,,-2.7,-6,-5.7,,,,-1.5,-2.1,-2.7,,,,-2.5,-1.1,-3.6,,,,-1,-3.3,-4,,,,-2.3,-0.4,-1.2,,,
122,144097095,56947267,C1C[C@@H]([C@@H]([C@]2(C1)C3=CC=CC=C3N(C2=O)CC4=CC=CC=C4)NC(=O)CCC5=CC=CC=C5)OC(=O)C6=NC=CN=C6,Inactive,0,,,>,122.493,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2.8,0.2,0.2,,,,1.1,-3.9,1.4,,,,2.3,2.5,4.1,,,,-1.2,-7.9,-260.4,,,,6.7,-2.8,2.9,,,,-1.1,3.1,0.9,,,,5.3,6.1,2.3,,,,4.8,0.5,-104.8,,,,7.6,6.7,1.3,,,,8.6,11.2,12.8,,,
123,24779997,135541149,C1=CC(=CN=C1)NC(=S)N/N=C/C2=C(C(=C(C=C2)O)O)O,Inactive,0,,,>,122.493,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-2.4,-11.6,-3.7,,,,-8.4,-2.6,-0.2,,,,-2.5,-5.2,-8.9,,,,-2.6,-3.2,-0.1,,,,-2.1,-2.5,-4.3,,,,-0.5,0.9,0.7,,,,-4.3,-4.4,-4.7,,,,-11.4,-13.9,-9.2,,,,-29.8,-32.5,-31.5,,,,-64.8,-71.1,-77.2,,,
124,49829243,8031245,CCN1C2=C(C(=O)N(C(=N2)C)CC(=O)NC3=CC(=CC=C3)Cl)SC1=S,Inactive,0,,,>,122.493,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-0.8,-2.9,-0.6,,,,-1.3,-6.3,-0.4,,,,-5.5,-1,-3.1,,,,-5.9,1.3,-2.4,,,,-5,-2.9,-0.4,,,,5.8,1.8,-0.3,,,,4,1.3,1.4,,,,9.6,10.7,2.5,,,,18.9,19.8,18,,,,34.1,27.7,33.9,,,
125,14726409,1114207,CC(C)OC1=CC=C(C=C1)C(=O)NC2=CC(=C(C=C2)NC(=O)C3=CC=CO3)Cl,Inactive,0,,,>,122.498,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0.7,-1.4,1.4,,,,-2.1,2.9,0.4,,,,-2.5,-3.1,-8.2,,,,-7,-6.4,-0.9,,,,-1.5,-1.6,-5.1,,,,-8.9,-2.8,-7.8,,,,-12.3,-8,-5.6,,,,-17.3,-17.1,-15.3,,,,-166.7,-136,-126.3,,,,-1413.2,-1114.3,-1165.3,,,
126,26671545,1614423,C1=CC(=CC(=C1)NC(=O)CCCN2C(=O)/C(=C/C3=CC=CO3)/SC2=S)C(=O)O,Inactive,0,,,>,122.499,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2.2,3.3,7.7,,,,7.1,-0.3,1.2,,,,2,5.8,-2.3,,,,-3.1,0.8,1.7,,,,3.2,3.8,0.6,,,,0.7,-0.2,-1.9,,,,-2,-9.3,-1.2,,,,-4.8,-6.5,-0.5,,,,0.7,0.6,-3.7,,,,7.9,9,18.4,,,
127,17401588,135456889,CC1=CC=C(C=C1)S(=O)(=O)CC2=NC3=CC=CC=C3C(=O)N2,Inactive,0,,,>,122.502,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-2.2,-6.6,-7.3,,,,-7.9,-4.2,-3.8,,,,-3.2,-0.4,-10.3,,,,-3,-6.4,-3.6,,,,-1.9,-5.2,2.2,,,,-3.2,-0.8,-4,,,,-5.8,-5.7,-3.4,,,,-15.5,-31.3,-16.5,,,,-49,-47,-52.3,,,,-122.7,-118.2,-130.2,,,
128,14744196,4083896,C1C2CC3CC1CC(C2)(C3)C(=O)NC4=NC(=CS4)COC5=CC=CC=C5,Inactive,0,,,>,122.505,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4.3,8.8,4.1,,,,1.4,3.5,12,,,,5.8,-0.2,4.7,,,,1.4,7.7,1.7,,,,4.8,-4.6,10.4,,,,2.2,3.6,0,,,,8.6,8.5,13.9,,,,9.6,13.3,10.7,,,,20.3,19.1,22.1,,,,28.7,29.6,25.1,,,
129,57266514,2604916,CC1=C(C=CC(=C1)OCC(=O)OCC(=O)NCC2=CC3=C(C=C2)OCO3)Cl,Inactive,0,,,>,122.505,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4,6.2,0.1,,,,0.2,0.6,2.7,,,,0.9,-1.1,0,,,,2.8,-0.3,5.1,,,,4.6,5.9,5.4,,,,2.4,0.7,4,,,,2.4,1,0.7,,,,-1.1,1.6,-0.6,,,,4.8,4.3,-3.5,,,,-9.3,-7.3,-8.8,,,
130,17409475,1483453,C1=CC=C(C=C1)N2C(=C(C=N2)S(=O)(=O)C3=CC=CC=C3)C4=CC=C(C=C4)F,Inactive,0,,,>,122.506,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-2.3,-4.7,-0.8,,,,-6.8,-5.6,-2,,,,-2.9,-3.9,-0.6,,,,-7.5,-6.7,-8,,,,-2.7,0.2,-1.2,,,,-5.1,-1.2,-6,,,,-1.5,-1,-3.3,,,,-4.4,1.3,-1,,,,-1.6,1.7,4.3,,,,3.6,5.8,3.3,,,
131,24801104,1201156,C1=COC(=C1)/C=C/2\C(=O)N(C(=S)S2)CCCC(=O)O,Inactive,0,,,>,122.506,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.1,1.2,2.8,,,,5,-0.5,-0.6,,,,-0.2,-1.3,-7.9,,,,-0.7,-1,0.7,,,,1.5,-2.5,-4.5,,,,3.8,-1.8,-3.3,,,,0.9,-2.3,0.5,,,,8,2.5,6.6,,,,28.2,27.2,25.3,,,,37.1,36.6,37.5,,,
132,22415192,2922897,COCCNCCCOC1=C(C=C(C=C1)Br)Cl.C(=O)(C(=O)O)O,Inactive,0,,,>,122.506,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-5.3,-1.9,-4.3,,,,-1.4,1.7,-1.8,,,,-7.7,-4.6,0.8,,,,-2.6,-4.8,-2.2,,,,-3.3,-4.8,-5.1,,,,-4.4,-5.6,-2.8,,,,-2,-5.1,-0.8,,,,-5,-3.3,-4.1,,,,-1.6,-2.6,-0.8,,,,-0.7,-8.2,-6.2,,,
133,57263564,9106949,COC1=CC=CC=C1COC(=O)C2=CC(=CC=C2)S(=O)(=O)N3CCCC3,Inactive,0,,,>,122.506,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3.7,1.9,5.2,,,,0.8,3,-1.3,,,,4.6,5.8,4.4,,,,4.8,6.7,5.2,,,,3.8,-1.1,0.3,,,,8.4,4.2,6.2,,,,7,5.1,4.3,,,,9.8,10.6,12.3,,,,7.5,10.6,8.3,,,,11.5,12.9,13.4,,,
134,49724909,16247853,COC1=CC=C(C=C1)CCNCC2=C(C=CC3=CC=CC=C32)OC.C(=O)(C(=O)O)O,Inactive,0,,,>,122.506,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0.2,0.3,0.3,,,,3.3,2.1,3.7,,,,-3.2,-0.5,-1.4,,,,2.5,6.2,-1.1,,,,2.3,6.7,0.8,,,,1.5,3.5,7.9,,,,4.1,1.1,5.4,,,,5.7,2.4,7.7,,,,-0.8,4.8,3.7,,,,8.7,12.8,7.6,,,
135,143472125,60138114,CC1=CC=C(C=C1)OCCN2C3=CC=CC=C3N=C2CCNC(=O)C4CCCCCC4.C(=O)(C(F)(F)F)O,Inactive,0,,,>,122.506,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13.3,11.7,14.7,,,,8.4,13.1,15.8,,,,8.5,10.6,13.3,,,,12.6,11.4,6.9,,,,13.8,5.1,10.4,,,,4.8,12.5,13.1,,,,17.2,13.4,8.1,,,,23.2,15.6,14.5,,,,15.7,11.4,19,,,,23.7,30.3,29.5,,,
136,22414417,1641764,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=S)N/N=C/C=C/C3=CC=C(C=C3)[N+](=O)[O-],Inactive,0,,,>,122.506,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-3.7,-20.2,-8.8,,,,-22.5,-3.7,-2.1,,,,-5,-27.2,-4.3,,,,-27.8,-4.2,-6.6,,,,-1.7,-4.3,-22.1,,,,-23.8,-5.7,-3.2,,,,-4.7,-2.7,-19.9,,,,2.3,-21.9,1.6,,,,8.6,4.8,-11.1,,,,24.1,27.8,16.4,,,
137,16952499,5138677,CCCCN1C2=C(C(=O)N(C1=O)CC(=O)NC3=CC(=C(C=C3)OC)Cl)N(C(=N2)CO)CCC,Inactive,0,,,>,122.506,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-1.1,-5.5,-0.2,,,,2.3,-0.8,1.1,,,,-4.3,-1.8,-2.3,,,,0.1,-1.3,-1,,,,2.4,-1,-0.6,,,,1.9,2.4,-1,,,,3.6,-2.4,0.6,,,,3.5,3.2,9.6,,,,5.7,6,4.1,,,,12,9.3,9.5,,,
138,4247784,3241950,CCC1=CC(=CC=C1)NC(=O)CN(C2=CC=C(C=C2)OC)S(=O)(=O)C3=C(NN=C3C)C,Inactive,0,,,>,122.506,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-1.2,-5,3.3,,,,-3.6,0.5,-2,,,,0.4,1.5,-1.3,,,,-2.7,-3.5,-1,,,,2.3,3.4,-2.1,,,,-0.3,-1.4,-0.3,,,,1.1,7.8,7,,,,12.9,18.8,12.3,,,,22.6,21.7,27.4,,,,42.4,24.5,29.7,,,
139,26670695,135679598,C1=CC(=C(C=C1O)O)/C=N/NC2=C(C=C(C=C2)S(=O)(=O)N)[N+](=O)[O-],Inactive,0,,,>,122.506,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2,-1.3,-1.3,,,,0.9,3.8,0,,,,-7.6,-3,-1.1,,,,1.7,0.2,0.5,,,,-1.9,1.7,-2.3,,,,3.9,1.1,-0.6,,,,-163.5,-1.3,-0.5,,,,6.1,5.8,5.9,,,,9,8.1,7.9,,,,21.3,20.6,16.4,,,
140,49677246,16331471,CC(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)OC)NC(=O)C2=CC=C(C=C2)C(C)(C)C,Inactive,0,,,>,122.508,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,6.2,9.9,1.3,,,,0,1.3,2.9,,,,3.1,3.5,-0.3,,,,0.3,-0.4,-2.7,,,,1.2,0.7,3.2,,,,-3.9,-2.2,0.7,,,,-1.3,-1,3.2,,,,-2.6,-1.7,-6.4,,,,-4,-11.2,-2.8,,,,2.8,0.2,-2.1,,,
141,17505082,1048809,CC1=CC(=CC=C1)NC(=O)CN2C3=CC=CC=C3C(=C2O)N=NC(=O)C4=CC=CC=C4O,Inactive,0,,,>,122.517,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-7.3,0.7,1.8,,,,-6.1,-8.9,-7,,,,-3.3,-2.5,-7.3,,,,-7,-6.3,-5.2,,,,-8.6,-3.8,-5.2,,,,-9.8,-9.4,-6,,,,-2.2,-3.5,-0.1,,,,-4.5,-12.2,-2.5,,,,-6.6,-10.1,-12.5,,,,-24.6,-24.3,-26.7,,,
142,4264652,1088060,CCOC1=CC=CC=C1NC2=NC(=NC(=N2)N)CN(C)C3CCCCC3,Inactive,0,,,>,122.517,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-2.2,-2.7,1.5,,,,4,3.1,-0.3,,,,-7.3,-2,-4.1,,,,-1.8,-4.4,-5.9,,,,-4.2,-6.2,-5.1,,,,-6.9,-5.1,-7.4,,,,-15.6,-10.7,0.3,,,,-6.5,-4,-5.1,,,,-1.9,-2.7,-3,,,,-18.3,-1.9,0.5,,,
143,14730357,2768648,C1=CC=C(C(=C1)C2=NN=C(O2)C3=CC=C(C=C3)Cl)OC4=C(C=C(C=N4)C(F)(F)F)Cl,Inactive,0,,,>,122.521,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2.4,-0.3,-0.1,,,,-1.4,3.9,0.3,,,,-1.3,2.7,-3.1,,,,-2.3,6.7,-1.8,,,,1.2,4,11.6,,,,0.4,3.3,2.7,,,,1.6,10.6,0.2,,,,0.3,1,-0.9,,,,-123.9,-76.9,-92.8,,,,-1032.3,-1108.8,-1286.4,,,
144,859503,660801,CC1=C2COC(CC2=C(C(=N1)OCC(=O)OC)C#N)(C)C,Inactive,0,,,>,122.521,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5.7,2,1,,,,5.3,0.2,-0.7,,,,0.6,3,3.5,,,,-4.2,4.1,1,,,,4.6,8.3,6.3,,,,4.3,3.1,2.8,,,,5.3,6.4,9.9,,,,3.8,4.7,0.2,,,,7.5,6.8,0.2,,,,0.7,2.2,2.4,,,
145,51088477,3242624,COC1=C(C=C(C=C1)C2=CC(=NO2)C(=O)NC3=CC(=C(C=C3)OC)OC)OC,Inactive,0,,,>,122.527,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5.6,6.5,5.1,,,,6.2,4.8,3.7,,,,8.9,13.5,7.5,,,,15.4,8.6,8,,,,11.3,8.4,12.7,,,,8,10.3,8.5,,,,1.1,5,2.7,,,,-180.3,-206.8,-164,,,,-460,-450.7,-476.4,,,,-1170,-1261.9,-1214.2,,,
146,26664959,317124,C1=CC=C(C=C1)C2=NC(=CC(=C2)C3=CC=CS3)C4=CC=C(C=C4)F,Inactive,0,,,>,122.527,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.1,-6.4,0.3,,,,-2.3,-3.1,-1.7,,,,-0.3,3,-3.9,,,,1.4,-2.8,0.5,,,,6.8,0.8,-3.5,,,,-0.6,-1.8,0.3,,,,-0.7,0.6,6,,,,-7,-10.3,-6.2,,,,-32.8,-27.6,-34.6,,,,-330.7,-316.9,-315.8,,,
147,26664485,69448,C1=CC=C(C=C1)C(=O)NC2=CC=CC3=CC=CC=C32,Inactive,0,,,>,122.537,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-4.1,-4.5,-1.3,,,,-7.8,-8,-5.4,,,,-1.4,5,2.2,,,,-5.8,-9.8,-19.1,,,,1.1,-1.4,-5.8,,,,-2.3,-1.8,-2.2,,,,-1.4,-1.8,1.3,,,,3.5,0.8,-3.9,,,,-1.1,-4.2,1.5,,,,-5.3,1.8,-3.4,,,
148,26665197,325654,CSC1=NC(=C(S1)C(=O)NC2CCCCC2)N,Inactive,0,,,>,122.542,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-23.9,-4.1,-4.6,,,,-6.5,-21.8,-2,,,,0.4,-21.8,-5.6,,,,-1,-19.4,-4.5,,,,-1.9,-15.1,-5.4,,,,0.5,-16.9,-1.9,,,,-1.4,-15.7,-4,,,,-10,2.3,-1.1,,,,3.5,-9.5,3.1,,,,14.3,0.7,19,,,
149,17413175,2230040,C1=CSC(=C1)C(=O)CCNC2=CC(=CC(=C2)Cl)Cl,Inactive,0,,,>,122.542,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-4.2,0.5,-2.1,,,,3.3,-4.7,5.4,,,,0.5,-0.3,-0.6,,,,-3.4,1.5,-1.2,,,,0.1,-3.6,1,,,,2.3,-0.8,0.2,,,,0.5,2.5,1.9,,,,6.7,6.9,4.3,,,,4.6,9.2,6.4,,,,0,7,2.6,,,
150,49828179,17375783,CC(C)C1=CC=CC=C1NC(=O)NC2=CC3=C(C=C2)OCO3,Inactive,0,,,>,122.542,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9.9,13.4,8.1,,,,9,5.6,9.5,,,,10.4,14.7,9.3,,,,16.9,11.9,11.4,,,,14,8.5,8.4,,,,6.3,14,13.3,,,,11,6.5,8.5,,,,13.3,12.7,8.7,,,,11.7,7.5,12.5,,,,4.4,10.8,10.7,,,
151,26666750,135483971,C1=C2C(=C3C(=CC(=C(O3)O)O)OC2=O)C(=C(C1=O)O)O,Inactive,0,,,>,122.562,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.5,7.5,22.3,,,,10.2,17.8,10.8,,,,16.9,6,8.8,,,,18.8,10.1,10.9,,,,10.7,9,3.2,,,,2,3.4,3.2,,,,-42.9,-47.3,-51.9,,,,-371.1,-350,-386.6,,,,-1332.7,-1274.7,-1395.3,,,,-1744,-1799.1,-1699.2,,,
152,26662906,6241261,C1=COC(=C1)/C=C/C=C\2/C(=O)N(C(=S)S2)C3=CC=C(C=C3)O,Inactive,0,,,>,122.562,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,6.2,7.8,1.7,,,,1.1,-0.7,1.5,,,,1.5,-0.3,2.3,,,,-0.3,-2.5,-2.7,,,,-0.8,-3.5,-2.8,,,,-2.3,0.2,0.4,,,,-2.3,-3.5,-4.1,,,,-2.7,-4.8,-15.1,,,,-3.6,-6.9,-6.2,,,,-44.3,-24.1,-30.3,,,
153,16953757,2570016,C1CCC2=C(C1)C=C(S2)C(=O)NCC3=CC=C(C=C3)F,Inactive,0,,,>,122.567,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0.1,-6.3,-2.3,,,,0.6,-1.6,-4,,,,-4.4,-3.5,-1.9,,,,-3.6,1.2,-0.9,,,,-2.8,-4.3,-1.9,,,,-2.2,-1.7,-8.6,,,,1.1,0.8,-1.1,,,,4.6,2.9,7.1,,,,8.5,7.3,7,,,,6.1,12.2,9.1,,,
154,4251945,3245564,CCOC(=O)/C(=C\1/C=CN(C=N1)C)/C#N,Inactive,0,,,>,122.567,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-5.2,-3.8,-6.6,,,,-6.6,-3.2,-8.2,,,,-4.8,-6.6,-4.7,,,,-2.9,-5.5,-5.4,,,,-12.5,-6.5,-2.4,,,,-1.5,-3.8,-0.3,,,,-1.9,-2.6,-4.4,,,,5,2.9,2.1,,,,10.5,12.8,10.1,,,,37.7,38.6,33.5,,,
155,46501022,23640940,C1=CC=C2C(=C1)C(=CN2)CCNC(=O)COC(=O)C3=CC=CC=C3C(=O)OCC(=O)NCCC4=CNC5=CC=CC=C54,Inactive,0,,,>,122.579,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-5.1,-6.1,-4,,,,-5.6,-3.3,-3.4,,,,-6.5,-7,-3.3,,,,-4.6,-5.3,-1.3,,,,-5.9,-6.7,-1.1,,,,-6.3,-3.9,0.3,,,,-3,-4.2,-1.5,,,,-1.5,-3.9,1.3,,,,1.5,-2.3,-3.5,,,,-10.2,-13.4,-10.1,,,
156,24817108,3720993,C1=CC=C2C(=C1)N=CC(=N2)S(=O)(=O)C3=CC=C(C=C3)Cl,Inactive,0,,,>,122.579,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-3.1,-3,2.1,,,,-5.2,-4.6,-5.9,,,,-5.3,-4.8,-1.8,,,,-3.2,0.5,-3.5,,,,1.2,-5.7,-5.8,,,,2.5,3.5,2.1,,,,10.1,12.9,13.3,,,,30.5,27.7,29.1,,,,43.6,37.4,41.4,,,,28.8,29.9,28.9,,,
157,26665249,163121,C1=CN=C(N=C1)SC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],Inactive,0,,,>,122.702,-3.911,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-1.6,3,0.7,,,,0.2,1.5,0.3,,,,4.2,-6.3,-2.7,,,,-1,-1.4,-1.4,,,,-1.7,-2.8,0.5,,,,0.3,-0.1,0.3,,,,1.7,2.3,1.3,,,,2.4,4.1,6.2,,,,19.9,16.8,17.9,,,,33.7,33,31.5,,,
