PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Qualifier,IC50,LogIC50,Maximal Response,Baseline Response,Inflection Point Concentration,Chi Square,Rsquare,Number of DataPoints,Hill Slope,Response Range,Excluded Points,Inhibition at 0.0062 uM [1],Inhibition at 0.0062 uM [2],Inhibition at 0.0062 uM [3],Inhibition at 0.0062 uM [4],Inhibition at 0.0062 uM [5],Inhibition at 0.0062 uM [6],Inhibition at 0.019 uM [1],Inhibition at 0.019 uM [2],Inhibition at 0.019 uM [3],Inhibition at 0.019 uM [4],Inhibition at 0.019 uM [5],Inhibition at 0.019 uM [6],Inhibition at 0.056 uM [1],Inhibition at 0.056 uM [2],Inhibition at 0.056 uM [3],Inhibition at 0.056 uM [4],Inhibition at 0.056 uM [5],Inhibition at 0.056 uM [6],Inhibition at 0.17 uM [1],Inhibition at 0.17 uM [2],Inhibition at 0.17 uM [3],Inhibition at 0.17 uM [4],Inhibition at 0.17 uM [5],Inhibition at 0.17 uM [6],Inhibition at 0.5 uM [1],Inhibition at 0.5 uM [2],Inhibition at 0.5 uM [3],Inhibition at 0.5 uM [4],Inhibition at 0.5 uM [5],Inhibition at 0.5 uM [6],Inhibition at 1.5 uM [1],Inhibition at 1.5 uM [2],Inhibition at 1.5 uM [3],Inhibition at 1.5 uM [4],Inhibition at 1.5 uM [5],Inhibition at 1.5 uM [6],Inhibition at 4.5 uM [1],Inhibition at 4.5 uM [2],Inhibition at 4.5 uM [3],Inhibition at 4.5 uM [4],Inhibition at 4.5 uM [5],Inhibition at 4.5 uM [6],Inhibition at 13.6 uM [1],Inhibition at 13.6 uM [2],Inhibition at 13.6 uM [3],Inhibition at 13.6 uM [4],Inhibition at 13.6 uM [5],Inhibition at 13.6 uM [6],Inhibition at 40.8 uM [1],Inhibition at 40.8 uM [2],Inhibition at 40.8 uM [3],Inhibition at 40.8 uM [4],Inhibition at 40.8 uM [5],Inhibition at 40.8 uM [6],Inhibition at 122.5 uM [1],Inhibition at 122.5 uM [2],Inhibition at 122.5 uM [3],Inhibition at 122.5 uM [4],Inhibition at 122.5 uM [5],Inhibition at 122.5 uM [6]
99,49713775,24789209,C1CCCN(CC1)C2=C(C=C(C=C2)C(CC(=O)N)NC(=O)CC3=CC=CC4=CC=CC=C43)[N+](=O)[O-],Inactive,0,,,>,122.481,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-4.7,-2.2,-0.5,,,,-0.8,-2.9,-6.1,,,,-6.8,0.1,-0.7,,,,-2.9,-5.5,-2,,,,-3.6,-7.3,-3.7,,,,-5.7,-2.3,-1.2,,,,-3.3,-5.3,-0.2,,,,2.7,9.8,8.1,,,,17.2,9.6,13,,,,26.4,27.7,24.7,,,
100,49731015,24792808,C1CN(CCN1C2=CC(=CC=C2)Cl)S(=O)(=O)C3=CNC4=C3C=C(C=C4)[N+](=O)[O-],Inactive,0,,,>,122.481,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8.4,10.1,2.6,,,,3.6,6.3,1.4,,,,3.7,11.8,4.1,,,,3.8,2.8,5.2,,,,4.3,2.7,6,,,,8,4.4,9.9,,,,3.1,11.3,7.6,,,,7,11.6,14.8,,,,15.7,18.7,16,,,,30.6,28,32.3,,,
101,49822459,6237665,C1=COC(=C1)/C=C\2/C(=O)N(C(=S)S2)CC(=O)NC3=CC(=C(C=C3)O)C(=O)O,Inactive,0,,,>,122.481,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,15,9.9,7.4,,,,7.7,11.6,7,,,,7,9.4,7.9,,,,9.6,6.1,5.9,,,,9.6,9.3,7.8,,,,5.3,9.7,7,,,,10.1,17.9,16.5,,,,41.6,39.9,44.4,,,,44.4,45.3,42.2,,,,-46.4,-41.9,-46.6,,,
102,26663247,2044775,C1=COC(=C1)/C=C/C=C\2/C(=O)N(C(=S)S2)CCCC(=O)O,Inactive,0,,,>,122.481,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-0.7,-1.6,1.6,,,,-2.7,-6.5,-3.9,,,,-3.5,-3.6,-5.5,,,,-3.3,-2.8,-4.8,,,,-1.5,-0.8,-1.1,,,,0.1,-0.5,-0.3,,,,2.5,4.8,0.8,,,,0.9,0.5,0.1,,,,-30.3,-29.4,-32,,,,-108.9,-105.8,-112.8,,,
103,860958,3398600,CCC(=NCC1=CC=CO1)C2=C(N(C(=O)NC2=O)C3CCCCC3)O,Inactive,0,,,>,122.481,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0.4,-0.4,0.6,,,,-0.5,-0.8,-4.9,,,,-2.1,-0.8,0.3,,,,2.4,-1.6,-0.9,,,,-1,-4.6,-0.5,,,,2.5,-0.9,1.3,,,,-0.5,-3.3,-2.7,,,,-2.2,1.3,-3.2,,,,-4.9,1.4,0.3,,,,-7.9,-6.6,-1.3,,,
104,49680093,16428168,C1=COC(=C1)/C=C/2\C(=O)N(C(=S)S2)CCC(=O)NC3=CC(=C(C=C3)C(=O)O)O,Inactive,0,,,>,122.481,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-2,-4.6,2.9,,,,-1.9,-1.1,-4.9,,,,-7.6,-5.3,-0.9,,,,-8.5,-2.1,-4.2,,,,-2.8,-1.2,-2.9,,,,-2.2,-8.1,-1.9,,,,1.6,-4.3,-1.4,,,,2.2,3.4,6.5,,,,28.1,27.8,28.3,,,,25,22.2,25.4,,,
105,22400719,4017536,COC(=O)C1CCCN1C(=O)COC2=C(C=C(C=C2)Br)Cl,Inactive,0,,,>,122.483,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7.2,3.5,1.9,,,,3.7,2.2,4.4,,,,7.8,0.9,-2.5,,,,-1.6,-1.8,-7,,,,3.8,-0.8,3.2,,,,-4.9,-0.3,3.8,,,,-0.8,0,-0.4,,,,-3.9,-7.1,1.4,,,,-2,1.5,-0.8,,,,2.2,-4.6,-2.8,,,
106,49677624,18567280,CN1C2=NC=CC(=C2C(=O)N(C1=O)CC3=C(C=C(C=C3)Cl)Cl)OC,Inactive,0,,,>,122.483,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10.8,10.3,8.3,,,,12.6,4.3,2.1,,,,6.4,5.3,13.2,,,,3.7,3.9,9,,,,7.1,6.1,6.5,,,,1.5,2.4,6.4,,,,4.3,3.9,9.7,,,,4,-0.3,2.6,,,,-26.6,-31.6,-29.6,,,,-251.4,-239.7,-270.5,,,
107,56463267,5353685,COC1=C(C(=CC(=C1)/C=C(\C#N)/C(=O)C2=CC(=C(C=C2)O)O)I)O,Inactive,0,,,>,122.486,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-0.1,-3.6,-2.9,,,,-4.7,-0.7,-0.4,,,,4.4,-2.7,2,,,,-10.2,-2.6,-5.9,,,,-7.1,-8.3,-5.6,,,,-18.5,-21.1,-24.5,,,,-51.2,-48.7,-48,,,,-142.6,-135.6,-137.5,,,,-307.7,-310.2,-319.4,,,,-587.4,-595.5,-573.2,,,
108,93577326,274108,C1=CC2=C(C(=C1)C3=C4C=CC(=O)C(=C4OC5=C3C=CC(=C5O)O)O)C(=CC=C2)C(=O)O,Inactive,0,,,>,122.486,-3.912,,,,,,60,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5.8,-0.7,3.9,14,10.6,20.1,0,1.8,-2.2,10.2,17.5,6,3.4,2.7,0.7,10.1,9.3,3.8,1,-0.4,2.1,21.7,8.7,6.5,5.8,7.3,6.3,10.7,17.4,5.2,6.6,6,5.6,14.7,8.1,15.5,19.2,22.5,24.3,28.5,34.5,25.6,37.3,37.2,36.7,60.1,40.8,46.7,17.3,18.4,16.5,17.5,36.9,21.2,-61.7,-67.6,-66.9,-89.6,-103.1,-95.1
