PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,104239786,42609835,C1CCN(C1)CCOC2=CC=C(C=C2)[C@@H]3C4=C(CCN3S(=O)(=O)C5=CC6=CC=CC=C6C=C5)C=C(C=C4)O,Active,,,Potential missing data,Inhibition,%,Active
2,104239787,42609836,C1CCN(C1)CCOC2=CC=C(C=C2)[C@@H]3C4=C(CCN3S(=O)(=O)C5=CC=CC=C5)C=C(C=C4)O,Active,,,Potential missing data,Inhibition,%,Active
3,104239788,42609837,C1CCN(C1)CCOC2=CC=C(C=C2)[C@@H]3C4=C(CCN3C(=O)C(F)(F)F)C=C(C=C4)O,Active,,,Potential missing data,Inhibition,%,Active
