PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 12.3 uM,Standard Deviation,Inhibition at 12.3 uM [1],Inhibition at 12.3 uM [2],Inhibition at 12.3 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized percent inhibition of the primary screen at a compound concentration of 12.3 micromolar.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound,Percent inhibition of the confirmatory screen at a compound concentration of 12.3 micromolar.,Percent inhibition of the confirmatory screen at a compound concentration of 12.3 micromolar.,Percent inhibition of the confirmatory screen at a compound concentration of 12.3 micromolar.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
469,24795852,2996937,CCOC1=C(C=C(C=C1Cl)CNCC(C2=CC=CC=C2)O)OC.Cl,Inactive,2,,,2.41,2.02418,1.34568,0.63407,5.23934
470,24796519,2982231,CC(C(C1=CC=CC=C1)O)NCC2=CC=C(C=C2)OCC3=CC=C(C=C3)Cl.Cl,Inactive,2,,,2.39,1.1528,2.10784,1.1381,3.91971
471,7972707,2855313,C1=CC=C2C(=C1)C3=CC=CC=C3N2CC(CN4C(=O)C5=CC=CC=C5S4(=O)=O)O,Inactive,2,,,2.37,4.22894,5.57327,5.13851,-3.60713
472,49674132,4519779,COC1=CC(=CC=C1)OC2=C(C=C(C=C2)S(=O)(=O)N3CCCC3)[N+](=O)[O-],Inactive,2,,,2.34,1.65999,0.0303218,3.12854,3.85996
473,17412395,2877914,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)NC(=O)C3=CC(=CC=C3)Cl,Inactive,2,,,2.32,1.19545,3.92968,1.06944,1.95619
474,26666259,626432,C1COCCOCCOCCOCCN1C2=CC=CC=C2,Inactive,2,,,2.31,0.427967,2.77065,1.74129,2.42775
475,7971189,1158578,C1COCCN1S(=O)(=O)C2=CC=C(C=C2)C(=O)NC3=CC(=CC=C3)F,Inactive,2,,,2.31,5.30688,-3.95413,1.86132,9.02181
476,85201803,44202882,CC(C)CC(=O)O[C@@H]1[C@H]([C@@H](C(O[C@H]1O[C@@H]2C[C@H]([C@H]3CC[C@@]45C[C@H](CC[C@H]4[C@@]3(C2)C)C(=C)[C@@H]5O)C(=O)O)CO)OSOOO)OS(=O)(=O)O,Inactive,2,,,2.3,1.7386,1.36064,4.74073,0.80711
477,4260247,2978829,C1CSC(C(=O)N1)CC(=O)NC2=CC(=CC(=C2)Cl)Cl,Inactive,2,,,2.3,2.92062,-1.28236,5.87164,2.3099
478,46500840,2884739,CC1=C(C(=O)N(N1)C2=CC=CC=C2)C(C3=CC(=C(C(=C3)OC)OC)OC)C4=C(NN(C4=O)C5=CC=CC=C5)C,Inactive,2,,,2.3,2.26977,5.49261,0.429711,0.971522
479,17516752,4879335,CN(CC(=O)NC1=C(C=C(C=C1)OC)[N+](=O)[O-])C2CCCCC2,Inactive,2,,,2.3,0.988868,1.83458,3.67,1.38343
480,49732911,3211799,C1CCC(CC1)NC(=O)C(C2=CC=CC=C2F)N(C3=CN=CC=C3)C(=O)CNC(=O)C4=CC=CO4,Inactive,2,,,2.28,2.80195,5.95837,-0.835113,1.71569
481,85268452,6139791,C1=CC=C(C=C1)/C=C(\C#N)/C(=O)NNS(=O)(=O)C2=CC=CC(=C2)[N+](=O)[O-],Inactive,2,,,2.28,2.97135,1.80059,-1.09704,6.1339
482,24793186,2972740,CC1=C(C(=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C)C)NS(=O)(=O)C,Inactive,2,,,2.26,2.70304,2.72643,5.31125,-1.26018
483,850854,653401,CCN1C(=NN=C1SCC(=O)NC2=NC(=C(S2)C)C)C3=CN=CC=C3,Inactive,2,,,2.25,1.96171,-0.481946,4.04302,3.18087
484,49671445,507300,C1=CC=C(C=C1)CSC2=C(C=CC=N2)[N+](=O)[O-],Inactive,2,,,2.24,3.57008,-2.80266,4.6085,4.92296
485,22416410,1292837,CCOC1=C(C=C(C=C1)C(=O)NC(=S)NC2=CC=CC=C2N3CCOCC3)Br,Inactive,2,,,2.24,3.916,2.66453,6.80686,-2.75687
486,57268527,3889938,CCOC(=O)C1=C(C2=CC=CC=C2O1)COC(=O)C(C)NC(=O)C3=CC=CO3,Inactive,2,,,2.23,2.1212,4.49862,-0.605134,2.7902
487,24812611,16193719,CCOC1=C(C=C(C=C1)CCNC(=O)C2=C(C(=C(N2)C)C(=O)C)C)OCC,Inactive,2,,,2.23,1.12735,2.92217,0.635813,3.12008
488,24792061,5350698,CCOC1=CC=C(C=C1)/C=C/C2=C(C(=O)N(C(=O)N2C)C)[N+](=O)[O-],Inactive,2,,,2.21,2.08368,2.23253,4.74536,-0.358389
489,846779,649172,CN(C)C(=O)CN1C2=CC=CC=C2N=C1SCC(=O)N3CCCC4=CC=CC=C43,Inactive,2,,,2.2,3.51941,-2.45557,3.00806,6.05117
490,24817540,1478026,CC1=CC=C(C=C1)C2=NN(C(=C2)N)C3=CC=C(C=C3)F,Inactive,2,,,2.2,1.66347,4.54128,1.17882,0.86695
491,26670694,135752106,C1=CNC(=C1)/C=N/NC2=C(C=C(C=C2)S(=O)(=O)N)[N+](=O)[O-],Inactive,2,,,2.18,2.56411,4.74283,-1.32591,3.10977
492,57264995,2579763,CN(CC(=O)NC1=CC=CC=C1SC)C(=O)/C=C/C2=CC=CC=C2,Inactive,2,,,2.17,1.44734,4.17803,1.4862,0.834104
493,24823533,5941382,C1=CN=CC=C1/C=N\NC2=C(C(=O)NN=C2)Cl,Inactive,2,,,2.15,3.31654,3.79031,-2.4728,5.13954
494,89855561,87533,C1=CC=C(C(=C1)NC2=CC=CC=C2[N+](=O)[O-])[N+](=O)[O-],Inactive,2,,,2.15,0.831804,3.06221,1.04984,2.33225
495,22416585,844440,C1CN(CCN1C2=CC=C(C=C2)Cl)C(=O)C3=CC(=CC=C3)[N+](=O)[O-],Inactive,2,,,2.13,3.1837,6.5185,-0.944818,0.828284
496,17434066,2191172,CCOC1=CC(=CC(=C1OC(=O)C)[N+](=O)[O-])/C=C\2/C(=O)SC(=N2)SCC=C,Inactive,2,,,2.11,1.3951,3.90942,0.507823,1.92543
497,24800323,16191992,CN1C=C(C(=N1)C2=CC=C(C=C2)OC3=CC=CC=C3)CNCC4=CN=C5N4C=CC=C5,Inactive,2,,,2.11,2.31058,-0.409463,1.57312,5.17274
498,852936,135449505,CC1(CC2=CC=CC=C2C(=N1)/C(=N/O)/C(=O)N)C,Inactive,2,,,2.1,3.22207,3.34811,-2.31385,5.27888
499,49817281,135550905,CC1=CC=[N+](C=C1)C2=C(SC(=O)N2)/C=N/N=C(/C3=CC=NC=C3)\[O-],Inactive,2,,,2.1,0.947325,2.8215,2.72524,0.765519
500,14729954,4316363,CC1=NN(C(=O)C2=CC=CC=C12)C3=C(C(=C(C=C3)Cl)Cl)Cl,Inactive,2,,,2.1,3.76435,7.39601,-0.110872,-0.994411
501,49678438,3221969,C1CCC(C1)NC(=O)C(C2=CC=CC=C2)N(C3=CC=CC=C3F)C(=O)C4=CSN=N4,Inactive,2,,,2.09,1.04996,2.41386,3.18087,0.671418
502,17503888,135497922,CC(C)COC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N/N=C/C3=CC(=C(C(=C3)OC)O)[N+](=O)[O-],Inactive,2,,,2.07,2.01446,-0.682863,2.79997,4.08569
503,49667989,6007076,COC1=CC=C(C=C1)/C=C/2\CCC(C2=O)C3CCCC3,Inactive,2,,,2.03,1.26513,0.385303,3.4626,2.24038
504,26659825,4221704,CC(C)(C)C1=NN(C(=C1[N+](=O)[O-])C(=O)NC2=CC=CC=C2OC)C,Inactive,2,,,2.03,3.4922,6.78893,0.787103,-1.49054
505,861346,135427712,C1=CC(=CC(=C1)Cl)CSC2=NC(=CC(=O)N2)N,Inactive,2,,,2.02,1.68049,4.04053,2.09637,-0.0737543
506,144090410,60157241,CC(C)[C@H]1C=C2[C@](C[C@@H](C(=O)N2CC3=C(C=C(C=C3)Cl)Cl)CC(=O)NCCCOC)([C@H](O1)C4CC4)C(=O)OC,Inactive,2,,,2,0.936911,3.02441,2.22087,0.760963
507,26664441,46428,CCC(CC)(C(=O)N)SCC=C,Inactive,2,,,2,1.44011,-0.0262797,3.18118,2.84898
508,14731550,3783983,CC1=NC(=C(N1CC(=O)C2=CC=C(C=C2)Cl)Br)[N+](=O)[O-],Inactive,2,,,1.99,0.547653,1.2254,2.26957,2.47683
509,56316784,7500893,C1C2CC3CC1CC(C2)(C3)C(=O)COC(=O)C4=C(C=C(C=C4)O)O,Inactive,2,,,1.99,1.7247,0.306053,4.3603,1.30462
510,49735696,20899366,C1=CC=C(C(=C1)CNC(=O)C2=CC=C(O2)CS(=O)CC3=CC=C(C=C3)Cl)Cl,Inactive,2,,,1.97,1.01701,0.609723,3.05596,2.24063
511,856752,5389043,CCCCOC(=O)CSC1=NC2=C(N1C/C=C(\C)/Cl)C(=O)NC(=O)N2C,Inactive,2,,,1.96,1.51703,-0.145728,2.68059,3.35674
512,85199284,2438347,CC1=CC=C(C=C1)N(C)S(=O)(=O)C2=CC=CC(=C2)C(=O)N3CCN(CC3)CC4=CC=CC=C4,Inactive,2,,,1.93,0.900426,2.43654,2.69611,0.669507
513,47201225,2841693,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)C(C3=CC=C(C=C3)C(=O)OC)C4=C(N(N(C4=O)C5=CC=CC=C5)C)C,Inactive,2,,,1.93,2.77404,1.34152,5.58352,-1.13454
514,862596,663830,CC1CC(C(CN1C)C)N2C3=C(C(=CC(=N3)C)C)C(=O)N2,Inactive,2,,,1.93,3.94438,-3.63929,4.43011,4.99707
515,124755385,53301220,CC(C)(C)C1CC[NH+]2CCCC(C1)(C23OCCO3)C4=CC(=C(C(=C4)OC)OC)OC,Inactive,2,,,1.93,6.17366,-6.61764,4.65763,7.74723
516,17406628,1218287,CCC(=O)NC1=C(C=CC(=C1)C(=O)OCC(=O)C2=CC=CC=C2Cl)C,Inactive,2,,,1.92,4.67359,8.50889,-1.8471,-0.894762
517,22411994,838363,COC1=CC(=NC(=N1)S(=O)(=O)C)OC,Inactive,2,,,1.91,0.83251,0.733728,2.58573,2.39891
518,160654058,70679912,C1CCC(CC1)NC(=O)C2(CCOCC2)N[C@@H](CC3=CC=CC=C3)C(=O)NCC(C4=CC=CC=C4)C5=CC=CC=C5,Inactive,2,,,1.9,0.0244706,1.87212,1.90719,1.93175
519,49721125,24791627,CC1=C(C=C(C=C1)N2C3=C(C=N2)C(CCC3)NC(=O)C4=C(N=CC=C4)SC)C,Inactive,2,,,1.9,2.99057,6.06061,-0.84901,0.498958
520,26728235,2822283,C1C(=O)N(C2=C(S1)C=CC(=C2)C(F)(F)F)CC(=O)NC3=CC=CC=C3,Inactive,2,,,1.9,1.80836,-0.486412,3.88782,2.30511
521,143472339,53364507,CC1=NC2=CC=CC=C2C(=C1)N3CCN(CC3)C(=O)OC4=NC=C(C=C4)C5=CC=CC=C5,Inactive,2,,,1.9,0.801973,2.99755,1.57804,1.1118
522,14731040,9550059,CC1CCC2=C(C1)C(=NC(=N2)SC)C(F)(F)F,Inactive,2,,,1.88,1.95502,-0.880997,3.16736,3.35847
523,851947,654553,C1CCC(C1)N2C(=NN=N2)SCC(=O)NC3=C(C4=C(S3)CCCC4)C#N,Inactive,2,,,1.88,2.0107,-0.959615,3.17613,3.42449
524,7972226,2247907,C=CCOC(=O)CN1C(=O)C2=CC=CC=C2C1=O,Inactive,2,,,1.85,1.21128,3.48511,1.48577,0.586914
525,49715069,24789579,CC(C)C1=CC=C(C=C1)NC(=O)C2=CC(=CC=C2)NC3=NC4CS(=O)(=O)CC4S3,Inactive,2,,,1.84,2.6983,-1.8642,2.9158,4.47896
526,24835279,3893098,C1CCN(C1)C2=C(C=C(C=C2)S(=O)(=O)N3CCOCC3)NC(=O)COC(=O)C4=CC=CC=C4[N+](=O)[O-],Inactive,2,,,1.84,1.95331,2.29384,3.97847,-0.742106
527,17414714,2950679,CC1=CC=CC=C1C(=O)NC(C)C2=CC3=C(CCCC3)C=C2,Inactive,2,,,1.83,2.05566,-0.664264,4.37065,1.79821
528,160654144,70679996,CCCC/C=C\1/[C@H](N(C2=N[C@@H](CC(=O)N12)C3=CC=CC=C3)CC4=CC5=C(C=C4)OCO5)C(C)C,Inactive,2,,,1.83,1.93938,3.20704,3.19356,-0.913737
529,134214623,53361898,C1CCC(CC1)[C@@H](C(=O)N2CCC[C@H]2C(=O)NCCC3=CC=CC=C3Cl)NC(=O)C4=CC=CS4,Inactive,2,,,1.83,3.4933,0.00379918,6.71635,-1.23561
530,4251917,3245542,COCCCNC(=O)C1CC(=O)N(C1)CCC2=CC(=C(C=C2)OC)OC,Inactive,2,,,1.83,2.03418,2.39797,3.98107,-0.90204
531,99360811,322086,CC1=NC2=CC=CC=C2N=C1CC(C3=CC=CC=C3)(C4=CC=CC=C4)O,Inactive,2,,,1.82,1.1921,2.68641,2.64802,0.138607
532,24788710,3307848,COC1=C(C=C(C=C1)C2CCCN2C(=S)NC3=CC(=CC=C3)OC)OC,Inactive,2,,,1.81,2.02368,0.290328,4.66665,0.462407
533,144089469,60156494,C1[C@@H](N(S(=O)(=O)C2=C(O1)C=C(C=C2)Br)CC3=CN(N=N3)CC4=CC=CC=C4)CC5=CC=CC=C5,Inactive,2,,,1.8,3.22372,-1.22897,6.26521,0.363251
534,24818826,972289,CC(=O)NC1=CC=C(C=C1)C2=CSC(=N2)NC3=NC=CC=N3,Inactive,2,,,1.8,1.97558,0.775878,4.55838,0.0531885
535,24806216,135452789,CC1=C[N+](=CC=C1)/C(=C\C(=C=[N-])C#N)/C(=O)C2=CC=C(C=C2)Cl,Inactive,2,,,1.79,2.70727,3.03344,-1.97348,4.2956
536,4262732,1243401,C1CN(CCN1CCN2C(=O)C3=CC=CC=C3NC2=S)CC4=CC=CC=C4,Inactive,1,,,1.77,0.936071,0.471098,2.21125,2.63421
537,136947237,1941563,CC1=CC=C(C=C1)N2C(=NN=C2SCC(=O)NC3=CC=CC4=CC=CC=C43)CC5=CC=CS5,Inactive,1,,,1.76,1.59112,-0.236257,3.65664,1.87299
538,47197044,2865344,C1CCN(CC1)CCCCOC2=C(C=CC=C2Cl)Cl.C(=O)(C(=O)O)O,Inactive,1,,,1.75,1.19893,1.63611,0.335594,3.26619
539,49679635,6617300,C1=CC=C(C=C1)NC2=CC(=C(C3=NON=C23)[N+](=O)[O-])N,Inactive,1,,,1.73,2.77418,2.39203,-1.95195,4.74551
540,22401879,15944822,C1CN(CCN1C2=CC(=CC=C2)Cl)C(=O)C3=CC=C(C=C3)CSC4=NC5=C(N4)C=NC=C5,Inactive,1,,,1.73,1.65428,-0.603909,2.71388,3.06972
541,17508269,5760254,C1CC(OC1)CNC(=O)/C(=C/C2=CC=CO2)/C#N,Inactive,1,,,1.72,1.15028,2.31709,2.74047,0.116382
542,26724311,3470902,COC1=CC=C(C=C1)NS(=O)(=O)C2=C(C=CC(=C2)NC(=O)C3=C(N=CC=C3)Cl)N4CCCC4,Inactive,1,,,1.71,1.27933,2.41928,2.80518,-0.0809789
543,85302635,5758789,CC\1=NN(C(=O)/C1=C\C2=CC(=C(C=C2)OC3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-])OC)C4=CC=CC=C4,Inactive,1,,,1.7,0.908249,1.09234,2.98844,1.03256
544,14746150,3683100,CN1C=CC=C1C2=NC3=C(N2)C=C(C=C3)NC(=O)C4=CC=C(C=C4)[N+](=O)[O-],Inactive,1,,,1.69,1.56741,0.0875991,3.81549,1.15622
545,7966770,5308434,CNC(=O)CN1C(=O)CSC2=C1C=CC=N2,Inactive,1,,,1.68,3.35593,1.34491,-2.24634,5.95298
546,24810911,6019211,CCC1CO/C(=C(\C(=C(Cl)Cl)Cl)/[N+](=O)[O-])/N1,Inactive,1,,,1.67,1.09572,0.645601,1.18534,3.19236
547,26724836,3235932,COC1=CC=CC(=C1)CNC(=O)C2CCN(CC2)CC3=C(N(N=C3)C4=CC=CC=C4)N5C=CC=C5,Inactive,1,,,1.67,1.79302,-0.845957,2.65063,3.20397
548,24813553,1257149,CC1=C(C(=O)N(N1)S(=O)(=O)CC2=CC=CC=C2)N=NC3=CC=CC=C3Cl,Inactive,1,,,1.67,2.75301,-1.53298,5.18755,1.34617
549,136947403,6161995,CC(=C)CN1C(=NN=C1SCC(=O)N/N=C(\C)/C2=CC=C(C=C2)[N+](=O)[O-])C3=CC=C(C=C3)Br,Inactive,1,,,1.66,1.17337,1.69508,3.0852,0.211549
550,22408067,4689068,CC1=CC=CC=C1N2C(=NN=C2SC(C3=CC=CC=C3)C(=O)NC4=CC(=C(C=C4)OC)Cl)C5=CC=NC=C5,Inactive,1,,,1.66,4.05574,0.334811,7.15719,-2.50796
551,14730031,2769183,CC1=CC=CC=C1C2=NN=C3C4=CC=CC=C4C(=O)C3=C2,Inactive,1,,,1.66,3.19661,3.41791,-2.8281,4.3843
552,22404187,2905787,CCCC(C)C(=O)NC1=C(C=CC(=C1)[N+](=O)[O-])F,Inactive,1,,,1.66,1.53887,-0.515583,2.62143,2.86288
553,49737117,22548473,CC1=C(C(=CC=C1)N2CCN(CC2)S(=O)(=O)C3=C(C=C4C(=C3)OCC(=O)N4)Cl)C,Inactive,1,,,1.65,1.00577,0.3091,1.89832,2.73401
554,49720113,16030217,CC1=C(C=C(C=C1)N2C(=NN=N2)CNC(=O)C3CC(=O)N(C3)C4=CC=CC=C4)C,Inactive,1,,,1.63,2.29194,4.50761,-1.09996,1.46937
555,851077,135422851,C1=CC=C(C(=C1)C2=NC3=CC=CC=C3C(=O)N2)C(=O)O,Inactive,1,,,1.61,4.31237,7.68498,-1.91541,-0.93083
556,92763850,5404,CC(C)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=NC=N4)C5=C(C=C(C=C5)Cl)Cl,Inactive,1,,,1.61,3.46734,6.50047,-1.15718,-0.509755
557,17510542,10375027,COC1=CC=CC=C1C/C(=N/O)/N,Inactive,1,,,1.61,2.0382,2.38462,-1.18259,3.62598
558,103076239,49791030,CC(C)NC1=NC2=C(C(=N1)NCC3=CC=C(C=C3)NC(=O)C)SC=C2,Inactive,1,,,1.61,2.51866,3.6928,3.06882,-1.93469
559,49666558,2768816,CC1=CC=C(C=C1)CNCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,Inactive,1,,,1.61,2.25978,4.67451,-0.703463,0.850718
560,89854848,135408629,C1=NC(=C(N1)[N+](=O)[O-])S(=O)(=O)N,Inactive,1,,,1.59,1.5033,2.83236,2.47231,-0.521366
561,49736419,24793764,C[C@@H]1CCC(=O)N(CC1)CC[C@@H](C2=CC=CC=C2)OC3=CC=CC=C3,Inactive,1,,,1.59,0.465536,1.59044,1.01636,2.15668
562,87341446,3235976,C1CSC2=NC(C(=O)N21)(C(F)(F)F)NS(=O)(=O)C3=CC=CC=C3,Inactive,1,,,1.58,0.909271,0.326619,1.96081,2.45427
563,24810634,135472704,C/C(=N\N=C/1\NC(=O)CS1)/C2=CC=CS2,Inactive,1,,,1.57,2.96381,3.83336,-2.61446,3.49872
564,49827004,834474,C1CCC(CC1)NC(=O)C2=C(C=CC(=C2)N3C=NN=C3)Cl,Inactive,1,,,1.57,2.95306,2.89624,-2.52035,4.33981
565,14740021,1485904,CC(C)(C)C(=O)C1=CN=C(S1)NC,Inactive,1,,,1.57,0.600351,1.18261,2.41759,1.10872
566,24825180,6892877,CC1=NN(C(=C1/C=N/NC(=O)C2CC2)N3CCCC3)C4=CC=CC=C4,Inactive,1,,,1.56,2.62497,1.91286,-1.82222,4.57785
567,24787905,891453,C1CN(CCN1C2=CC=CC=N2)C(=O)C3=C(C=C(C=C3)Cl)[N+](=O)[O-],Inactive,1,,,1.54,3.49956,4.52608,3.46892,-3.36951
568,87335294,3937377,CCN(CC)S(=O)(=O)C1=C(C=CC(=C1)[N+](=O)[O-])NNC(=O)NC2=CC=CC=C2OC,Inactive,1,,,1.53,0.695017,2.39037,0.688279,1.50954
569,17416204,1205039,C1=CSC(=C1)/C=C\2/C(=O)N=C(S2)N,Inactive,1,,,1.52,1.33661,1.75775,3.01841,-0.228677
570,24798445,16190116,CC(C1=NC=CS1)N(C)C(=O)CCC2=NN=C(O2)CCC3=CC=CC=C3,Inactive,1,,,1.5,1.87039,-0.485542,4.00441,0.97025
571,49648418,24747798,C1=CC=C(C=C1)CNC(=O)C2=C(ON=C2CSC3=CC(=C(C=C3)F)F)C(=O)NCC4=CC=CC=C4,Inactive,1,,,1.49,1.74678,-0.976104,2.66579,2.78986
572,26662255,6872412,CN1C=C(C2=CC=CC=C21)/C=N/NC(=S)N,Inactive,1,,,1.49,2.563,1.5208,4.61219,-1.66563
573,49647938,2946052,CC(C)OC1=CC=C(C=C1)C(CCNCC2=CC(=C(C=C2)OC)OC)C3=CC=CC=C3,Inactive,1,,,1.48,0.20032,1.25709,1.44242,1.74322
574,14730740,1471242,CC1=NC=CC(=N1)C2=CC(=C(C=C2)[N+](=O)[O-])CS(=O)(=O)C3=CC=C(C=C3)Cl,Inactive,1,,,1.47,0.922042,0.508075,1.19645,2.71514
575,24808994,801962,CCC(=O)NC1=CC(=CC=C1)NC(=S)NC(=O)C2=CC=CC=C2C,Inactive,1,,,1.47,1.77678,2.34868,3.06847,-1.00864
576,22405578,2671569,CC1=CC=C(C=C1)CNC(=O)C2=CC(=C(C=C2)OC(F)F)OC,Inactive,1,,,1.45,2.10835,-1.09917,4.06427,1.39772
577,24824300,16195707,CC1=C(C=C(C=C1)C(=O)NCCN2[C@@H](CN3C2=NC[C@H]3CC4=CC=CC=C4)CC5=CC=C(C=C5)O)Br,Inactive,1,,,1.44,2.00972,1.45166,3.89315,-1.02958
578,89853488,2600788,C1CCC(CC1)N2C(=NN=C2SCC(=O)N3CCCC3)C4=C(C=C(C=C4)Cl)Cl,Inactive,1,,,1.43,1.28763,0.822742,0.242134,3.21723
579,85148388,11068590,CCC[C@H]1CCCC/C=C\CCCC(=O)OCCN1C(=O)OC(C)(C)C,Inactive,1,,,1.42,3.36882,-3.31503,4.22198,3.36301
580,22411195,135401295,CC(C(=O)NC1=CC(=CC(=C1)Cl)Cl)OC(=O)CCCCCN=C2C3=CC=CC=C3S(=O)(=O)N2,Inactive,1,,,1.41,4.42952,3.37666,5.57927,-4.72282
581,26660018,16682012,C[C@@H]1CC[C@H]([C@@H](C1)OC(=O)C[N+]2=C3CCCCCN3C(=C2)C4=CC=C(C=C4)Cl)C(C)C.[Cl-],Inactive,1,,,1.41,2.031,0.781208,4.14913,-0.705818
582,17402289,3850578,CC1=CC(=CC=C1)C(C#N)C2=NC3=CC=CC=C3N=C2C(F)(F)F,Inactive,1,,,1.41,1.5464,3.47625,-0.240272,0.984195
583,103076505,3100915,C1=CC=C(C(=C1)NC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-])O,Inactive,1,,,1.4,1.1354,1.99203,-0.183194,2.40522
584,850573,653099,CC1CCCCN1C(=O)CSC2=NC3=CC=CC=C3N2CC(=O)N4CCC5=CC=CC=C54,Inactive,1,,,1.4,2.02074,-1.22966,3.68553,1.73379
585,17408818,1731866,CCCCC(=O)NC1=CC(=C(C=C1)C)O,Inactive,1,,,1.39,0.572981,0.699394,1.38255,2.10274
586,24798809,16190480,C1CN(C(CN1CC2=CC=CC3=NON=C32)CCO)CC4=CSC=C4,Inactive,1,,,1.39,1.38664,2.07148,2.64802,-0.539066
587,22406595,5224115,COC1=CC=C(C=C1)N=C2N(C(=O)C(S2)CC(=O)NC3=CC=CC=C3)CC4=CC=CO4,Inactive,1,,,1.39,2.54223,4.87255,0.420548,-1.12412
588,49647919,3735979,CC(C)OC1=CC=C(C=C1)C(CCNCC2=CC=C(C=C2)N(C)C)C3=CC=CC=C3OC,Inactive,1,,,1.39,2.83281,5.229,0.460456,-1.52074
589,85148951,44144145,COC(=O)C1=C(C[C@@H]2CC[C@H]1N2C(=O)NC3CCN(CC3)CC4=CC=CC=C4)C5=CC(=CC=C5)OCC6=CC=CC=C6,Inactive,1,,,1.37,1.0283,0.847208,0.449773,2.80253
590,26662292,1988196,CC1=CC=C(C=C1)N2C(=O)CC3(CCCC3)CC2=O,Inactive,1,,,1.36,3.15153,-0.846483,5.8178,-0.888505
591,47196963,5726238,CCOC1=CC=C(C=C1)/C=C(\C)/C(=O)C2=C(C=C(NC2=O)C)C,Inactive,1,,,1.35,2.64642,0.192613,5.00588,-1.16109
592,845515,647865,CC1=CC2=C(C=C1)N=C(N2)C3CCN(CC3)C(=O)NCC4=CC=CC=C4,Inactive,1,,,1.35,3.28383,-1.57194,5.93353,-0.324583
593,49715916,4248377,C1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)C(=O)NCC3=NNC(=S)N3C4=CC=CC(=C4)C(F)(F)F,Inactive,1,,,1.33,3.21763,2.53759,4.52026,-3.0772
594,143472323,53384678,CC1=C(C(=NO1)C2=CC=C(C=C2)Cl)C3=NN(C=C3)S(=O)(=O)C4=CC(=CC=C4)Cl,Inactive,1,,,1.33,1.08179,-0.123814,1.62559,2.47453
595,844504,646831,CC1=CC(=NC=C1NC(=O)C)NC(=O)C2=CC(=CC=C2)F,Inactive,1,,,1.32,2.44239,4.69102,0.306403,-1.0262
596,24814116,5062410,CC1=C(C=C(N1CCC(=O)NC(C)(C)C)C2=CC=C(C=C2)F)C(=O)C,Inactive,1,,,1.32,1.42491,1.85063,2.7302,-0.634732
597,14728231,1718335,CCCCCCSC1=C(C(=O)NC2(S1)CCCCC2)C#N,Inactive,1,,,1.3,3.05755,5.3886,0.473778,-1.96291
598,49673831,16246993,CCN(CCNCC(COC1=CC=CC=C1C(C)C)O)C2=CC=CC(=C2)C.C(=O)(C(=O)O)O,Inactive,1,,,1.29,4.41927,-4.65924,2.61632,5.92005
599,851115,653676,CCCN1C2=C(N=C1SCC(=O)NC3=NC4=C(S3)CCCC4)N(C(=O)N(C2=O)C)C,Inactive,1,,,1.29,2.99093,4.03331,2.69741,-2.87299
600,24809106,682038,C1CCCC(=NNC(=O)CC(=O)NCC2=CN=CC=C2)CC1,Inactive,1,,,1.28,1.98523,-1.46491,2.14607,3.16118
601,99495807,4207918,COC1=C(C(=C(C=C1)CN2CCCC(C2)C(=O)N3CCCC3)OC)OC,Inactive,1,,,1.28,1.63005,3.23467,-0.755712,1.35937
602,99357747,291600,CC(=O)NC1C2C(COC(O2)C3=CC=CC=C3)OC(C1OC(=O)C)OC,Inactive,1,,,1.25,2.09792,-0.895339,0.551874,4.0985
603,49827554,24819663,CN(CC1=C(C=C(C=C1)OC)OC)C(=O)C2=CC=C(C=C2)NS(=O)(=O)C3=CC4=C(C=C3)NC(=O)N4,Inactive,1,,,1.24,1.2996,-0.160573,2.97061,0.907941
604,144089848,60156864,C[C@@H]1[C@]2(C[C@@H](C(=O)N(C2=C[C@@H](O1)C3CCCC3)CCC4=CCCCC4)CC(=O)N5CCCCC5)C(=O)OC,Inactive,1,,,1.21,3.83354,5.71453,-3.65465,1.57387
605,49644784,803346,CC1=C(C=C(C=C1)NC(=O)C2=NC=CN=C2)C,Inactive,1,,,1.21,3.69529,-0.181931,6.26357,-2.46279
606,17387997,1220896,CCN(CC)C(=O)C1=C(C(=C(S1)NC(=O)C2=CC(=C(C=C2)C)[N+](=O)[O-])C#N)C,Inactive,1,,,1.19,2.9373,3.44585,-2.95584,3.08903
