PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,103328482,15005944,CNC(=O)CCSC1=NC2=CC=CC=C2S1,Inactive,,,Potential missing data,EC50,nM,Not Active
2,103328508,15005965,CN(C(=O)NCCSC1=NC2=CC=CC=C2S1)OC,Inactive,,,Potential missing data,EC50,nM,Not Active
3,103328539,15005963,CONC(=O)NCCSC1=NC2=CC=CC=C2S1,Inactive,,,Potential missing data,EC50,nM,Not Active
4,103329019,15005964,CNC(=O)NCCSC1=NC2=CC=CC=C2S1,Inactive,,,Potential missing data,EC50,nM,Not Active
