PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103391346,10662746,C1CC(C2=C(C1)C=C(C=C2)CCC3=CC=CC=C3)N(C(=O)N)O,Inactive,,,Potential missing data,Activity,Not Active
2,103391405,10546583,C1CC(C2=C(C1)C=C(C=C2)OCC3=CC4=CC=CC=C4C=C3)N(C(=O)N)O,Inactive,,,Potential missing data,Activity,Not Active
3,103391593,10823716,COC1=CC2=C(C=C1)C(CCC2)N(C(=O)N)O,Inactive,,,Potential missing data,Activity,Not Active
4,103391602,10830117,COC1=CC=C(C=C1)COC2=CC3=C(C=C2)C(CC3)N(C(=O)N)O,Inactive,,,Potential missing data,Activity,Not Active
5,103391740,10589376,CC1=C2C(CCN2C3=C1C=C(C=C3)C(C)C)N(C(=O)N)O,Inactive,,,Potential missing data,Activity,Not Active
6,103392107,10611292,CCC1=CC2=C(C=C1)N3CCC(C3=C2)N(C(=O)N)O,Inactive,,,Potential missing data,Activity,Not Active
7,103392141,10733892,C1CC(C2=C(C1)C=CC(=C2)OCC3=CC=CC=C3)N(C(=O)N)O,Inactive,,,Potential missing data,Activity,Not Active
