PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,440150382,122678192,CC1=CC(=NN1)C2=CC=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=C(N(N=C4)C)S(=O)(=O)N,Unspecified,,,Potential missing data,Inhibition,%,Non-Toxic
2,440184126,122678117,CC1=CC(=NN1)C2=CC=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=C5C(=O)NCCN5N=C4,Unspecified,,,Potential missing data,Inhibition,%,Non-Toxic
3,440204156,155559364,CC1=CC(=NN1)C2=CC=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=C(N(N=C4)C)C(=O)NOC(C)(C)C,Unspecified,,,Potential missing data,Inhibition,%,Non-Toxic
