PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,103172204,60490,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,Active,,,Potential missing data,Inhibition,%,Active
2,103395954,5321318,COC1=CC(=CC(=C1O)OC)/C=C/C(=O)OC,Inactive,,,Potential missing data,Inhibition,%,Not Active
3,318372612,6439771,CCOC(=O)/C=C/C1=CC(=C(C(=C1)OC)O)OC,Inactive,,,Potential missing data,Inhibition,%,Not Active
4,440153595,8764348,COC1=CC(=CC(=C1OC)OC)/C=C/C(=O)OCCC2=CC=CC=C2,Inactive,,,Potential missing data,Inhibition,%,Not Active
5,440167962,101993998,COC1=CC(=CC(=C1)/C=C/C(=O)OCCC2=CC=CC=C2)OC,Inactive,,,Potential missing data,Inhibition,%,Not Active
6,461535281,138558205,COC1=CC(=CC(=C1O)OC)/C=C/C(=O)OCCCC2=CC=CC=C2,Active,,,Potential missing data,Inhibition,%,Active
7,461558722,11267431,COC1=CC(=CC(=C1O)OC)/C=C/C(=O)OCCC2=CC=CC=C2,Active,,,Potential missing data,Inhibition,%,Active
8,475980795,138581479,COC1=CC(=CC(=C1O)OC)CCC(=O)CCC2=CC=CC=C2,Active,,,Potential missing data,Inhibition,%,Active
9,475982967,52895108,COC1=CC=CC(=C1OC)/C=C/C(=O)OCCC2=CC=CC=C2,Inactive,,,Potential missing data,Inhibition,%,Not Active
10,475983049,166627797,CC1=CC=C(C=C1)CCOC(=O)/C=C/C2=CC(=C(C(=C2)OC)O)OC,Active,,,Potential missing data,Inhibition,%,Active
