PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,103637479,6261723,C/C=C/C1=CC2=C(C=C1)OC(=C2C)C3=CC=C(C=C3)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
2,163312979,14213224,C[C@@H]1[C@@H]([C@H](O[C@H]1C2=CC=C(C=C2)O)C3=CC=C(C=C3)O)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
3,163316357,6440631,C/C=C/C1=CC2=C(C=C1)OC(=C2)C3=C(C=C(C=C3)OC)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
4,163319825,26389403,C[C@@H]1[C@@H]([C@H](O[C@@H]1C2=CC=C(C=C2)O)C3=CC=C(C=C3)O)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
5,163323283,14213211,COC1=CC(=C(C=C1)C2=CC3=C(O2)C=CC(=C3)CCCO)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
6,163330121,10355545,C/C=C/C1=CC2=C(C=C1)OC(=C2)C3=C(C=C(C=C3)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
7,163330122,53483951,C/C=C/C1=CC2=C(C=C1)OC(=C2)C3=CC=C(C=C3)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
8,163333673,14213209,COC1=C(C=CC(=C1)O)C2=CC3=C(O2)C=CC(=C3)CCCO,Inactive,,,Potential missing data,Inhibition,%,Not Active
9,163333674,71460125,C/C=C/C1=CC2=C(C=C1)O[C@@H]([C@H]2CO)C3=CC=C(C=C3)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
10,163333675,14213215,C/C=C/C1=CC2=C(C=C1)OC(=C2)C3=C(C=C(C=C3)O)OC,Inactive,,,Potential missing data,Inhibition,%,Not Active
11,163337090,10999992,C/C=C/C1=CC2=C(C=C1)O[C@H]([C@@H]2C)C3=CC=C(C=C3)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
