PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103198532,689043,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,Unspecified,,,Potential missing data,Activity,Non-toxic
2,103207024,1794427,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,Unspecified,,,Potential missing data,Activity,Non-toxic
3,103341569,5281792,C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,Unspecified,,,Potential missing data,Activity,Non-toxic
4,103433751,6474309,C1[C@H]([C@@H]([C@@H](C[C@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)OC(=O)/C=C/C3=CC(=C(C=C3)O)O)O,Unspecified,,,Potential missing data,Activity,Non-toxic
5,103531440,6124299,C1=CC(=C(C=C1/C=C/C(=O)OC(CC(=O)O)C(=O)O)O)O,Unspecified,,,Potential missing data,Activity,Non-toxic
6,103558757,6474310,C1C(C[C@H](C([C@@H]1OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)OC(=O)/C=C/C3=CC(=C(C=C3)O)O)(O)C(=O)O,Unspecified,,,Potential missing data,Activity,Non-toxic
7,103558758,5281780,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)OC(=O)/C=C/C3=CC(=C(C=C3)O)O)O,Unspecified,,,Potential missing data,Activity,Non-toxic
8,103600760,9857913,C1=CC(=C(C=C1/C=C/C(=O)OC(C(C(=O)O)O)C(=O)O)O)O,Unspecified,,,Potential missing data,Activity,Non-toxic
