PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,312391316,118735510,C1=CC(=CC(=C1)O)C(=O)N[C@@H](CCCCNC(=O)C2=C(C(=CC=C2)O)O)CO,Active,,,Potential missing data,Activity,Active
2,312391317,118735511,COC1=CC=CC(=C1O)C(=O)NCCCC[C@@H](CO)NC(=O)C2=CC(=CC=C2)O,Inactive,,,Potential missing data,Activity,Not Active
3,312391318,118735512,COC1=CC=CC(=C1)C(=O)N[C@@H](CCCCNC(=O)C2=C(C(=CC=C2)OC)O)CO,Inactive,,,Potential missing data,Activity,Not Active
